% conductivity(m/s) head(m) depth(km) 
   8.0000000e-05   1.0000000e+01   0.0000000e+00
   8.0000000e-05             NaN   1.2500000e-01
   4.0000000e-04   2.0256617e+01   2.5000000e-01
   4.0000000e-04             NaN   3.7500000e-01
   4.0000000e-04             NaN   5.0000000e-01
   4.0000000e-04             NaN   6.2500000e-01
   8.0000000e-05             NaN   7.5000000e-01
   8.0000000e-05   2.6736777e+01   8.7500000e-01
   6.0000000e-04             NaN   1.0000000e+00
   6.0000000e-04             NaN   1.1250000e+00
   6.0000000e-04             NaN   1.2500000e+00
   6.0000000e-04             NaN   1.3750000e+00
   6.0000000e-04             NaN   1.5000000e+00
   5.0000000e-07             NaN   1.6250000e+00
   5.0000000e-07             NaN   1.7500000e+00
   5.0000000e-07             NaN   1.8750000e+00
   5.0000000e-07             NaN   2.0000000e+00
   5.0000000e-07             NaN   2.1250000e+00
   5.0000000e-07   2.9582521e+01   2.2500000e+00
